AnHui	504.48931138888025	0.46116111111111074
FuJian	502.3064674999905	0.41582972222222236
GanSu	557.4612091666709	0.5061155555555561
GuangDong	493.6654097222231	0.4418775
GuiZhou	507.0476458333278	0.4364727777777778
HeBei	505.64884638886497	0.5114780555555553
HeNan	282.27105388888356	0.5284422222222221
HuBei	331.635421944433	0.5713352777777777
HuNan	496.2235260590355	0.49911583333333315
JiangXi	508.8464611111197	0.536886388888889
LiaoNing	502.3465069444457	0.9817666666666668
MANDARIN	5529.72748939693	4.540796936111111
MinNan	3665.757013366707	5.9097680555555545
NingXia	151.88112305996208	0.6156975623582769
ShanDong	541.7365311111139	0.5707211111111115
ShanXi	708.0123369444501	0.9987913888888889
ShangHai	880.1397611458236	3.2174517500000004
SiChuan	2278.402679534687	2.8557641319444462
TianJin	237.5485911111114	0.47016805555555563
WeiYu	862.2760848152802	2.1154480555555675
WenZhou	487.4741509201459	0.41706416666666696
WuYu	1526.7628232638865	1.5958125
Yue_GZ	3590.3138926498855	3.6028909895833303
Yue_HK	1189.6632101089772	6.363157479843797
YunNan	534.8568344444525	0.4655050000000002
ZangYu	1399.8672759284743	1.4921241666666711
